Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Rairakhol,18,PRASANNA ACHARYA,Biju Janata Dal,DEBENDRA MOHAPATRA,Bharatiya Janata Party,4960,21/21,Result Declared
Rairangpur,28,JALEN NAIK,Bharatiya Janata Party,RAISEN MURMU,Biju Janata Dal,7693,37/37,Result Declared
Rajanagar,99,DHRUBA CHARAN SAHOO,Biju Janata Dal,LALIT KUMAR BEHERA,Bharatiya Janata Party,18241,29/29,Result Declared
Rajgangpur,13,C.S. RAAZEN EKKA,Indian National Congress,ANIL BARWA,Biju Janata Dal,10184,23/23,Result Declared
Ranpur,119,SURAMA PADHY,Bharatiya Janata Party,SATYANARAYAN PRADHAN,Biju Janata Dal,15544,18/18,Result Declared
Rayagada,140,KADRAKA APPALA SWAMY,Indian National Congress,ANUSAYA MAJHI,Biju Janata Dal,29186,26/26,Result Declared
Remuna,39,GOBINDA CHANDRA DAS,Bharatiya Janata Party,BIDYASMITA MAHALIK,Biju Janata Dal,24168,24/24,Result Declared
Rengali,16,SUDARSHAN HARIPAL,Biju Janata Dal,NAURI NAYAK,Bharatiya Janata Party,3212,20/20,Result Declared
Rourkela,12,SARADA PRASAD NAYAK,Biju Janata Dal,DILIP KUMAR RAY,Bharatiya Janata Party,3552,15/15,Result Declared
Salipur,94,PRASANTA BEHERA,Biju Janata Dal,ARINDAM ROY,Bharatiya Janata Party,7594,26/26,Result Declared
Sambalpur,17,JAYANARAYAN MISHRA,Bharatiya Janata Party,ROHIT PUJARI,Biju Janata Dal,4105,19/19,Result Declared
Sanakhemundi,130,RAMESH CHANDRA JENA,Indian National Congress,Sulakshana Geetanjali Devi,Biju Janata Dal,10662,29/29,Result Declared
Saraskana,27,BHADAV HANSDAH,Bharatiya Janata Party,DEBASHIS MARNDI,Biju Janata Dal,13652,34/34,Result Declared
Satyabadi,109,OM PRAKASH MISHRA,Bharatiya Janata Party,SANJAY KUMAR DAS BURMA,Biju Janata Dal,17708,26/26,Result Declared
Simulia,42,PADMA LOCHAN PANDA,Bharatiya Janata Party,SUBASINI SAHOO,Biju Janata Dal,13183,25/25,Result Declared
Sonepur,65,NIRANJAN PUJARI,Biju Janata Dal,PRAMOD KUMAR MAHAPATRA,Bharatiya Janata Party,15239,23/23,Result Declared
Soro,41,MADHAB DHADA,Biju Janata Dal,PARSHURAM DHADA,Bharatiya Janata Party,802,23/23,Result Declared
Sukinda,54,PRADEEP BAL SAMANTA,Bharatiya Janata Party,PRITIRANJAN GHARAI,Biju Janata Dal,9577,19/19,Result Declared
Sundargarh,9,JOGESH KUMAR SINGH,Biju Janata Dal,KUSUM TETE,Bharatiya Janata Party,9122,22/22,Result Declared
Surada,129,NILAMANI BISOYI,Bharatiya Janata Party,SANGHAMITRA SWAIN,Biju Janata Dal,28224,19/19,Result Declared
